comment_id,comment_time,comment_text,user_id,latitude,longitude
109,1595719116, Запах ж/д. ,79,54.6149344419862,39.7165033330357
110,1595725981," Газ.  Мазут, нефтепродукты.  Гарь. ",96,54.6073170574807,39.7529846696548
111,1595729722, Сладковатый запах (фенол).  с вечера и до сих пор! . ,45,54.6015148720428,39.8257743991381
112,1595732862," Мазут, нефтепродукты.  Газ. ",97,54.6001352985227,39.8122475116043
113,1595737695, Тухлая капуста. ,98,54.6030102152486,39.7599979050979
114,1595739409," Мазут, нефтепродукты.  Выхлопные газы.  Газ. ",99,54.6016759171259,39.7888723952671
115,1595740020, Сладковатый запах (фенол).  Канализация (сероводород). ,30,54.6035011763725,39.8175303613985
116,1595743730, Сладковатый запах (фенол). ,100,54.6177389074859,39.8120621936605
117,1595745302, Сладковатый запах (фенол). ,55,54.6005135103498,39.8303599175521
118,1595771521, Гарь. ,105,54.614663396371,39.794860854257
119,1595781769," Сильный запах моющего средства,или порошка в воздухе. Дышать нечем. ",100,54.6163241580645,39.8100377611007
120,1595782635, Гарь. ,106,54.6165930969222,39.8112972262481
121,1595788640," Мазут, нефтепродукты.  Гарь. ",62,54.6046982306767,39.738961719755
122,1595788883, Газ.  Гарь.  Сера. ,107,54.5946974588587,39.7958230635757
123,1595789690, Запах горелой проводки/пластика. ,108,54.6059248608132,39.7195416211852
124,1595791964," Гарь.  Запах жжёного пластика, винила. ",109,54.6010838001526,39.7251439567686
125,1595797673, Гарь. ,49,54.6015130331836,39.7906963823266
126,1595799298, Сладковатый запах (фенол).  Гарь.  запах горелого пластика. ,111,54.6298409607896,39.7567947390655
127,1595821817, Газ.  Сера. ,95,54.6047202482441,39.739618822583
128,1595826218," Мазут, нефтепродукты.  Гарь.  Сладковатый запах (фенол). ",44,54.5773606920534,39.8105075690493
129,1595829773," Сера.  Мазут, нефтепродукты. ",103,54.6151697752534,39.7006554684863
130,1595832714, Канализация (сероводород).  Сера.  Газ. ,113,54.6031324981293,39.7963182924219
131,1595836470, Сладковатый запах (фенол).  Химический. ,114,54.6625259334519,39.6454131129379
132,1595837928," Мазут, нефтепродукты.  Гарь.  Выхлопные газы. ",115,54.6223694338838,39.7793662466906
133,1595838289, Канализация (сероводород).  Сера.  Сладковатый запах (фенол). ,117,54.6172099068755,39.8013765439883
134,1595839135," Выхлопные газы.  Мазут, нефтепродукты.  Газ. ",118,54.6243504516892,39.7344755859214
135,1595839353," Мазут, нефтепродукты.  Выхлопные газы.  Сера. ",119,54.6171768824664,39.6642905648954
136,1595840751," Мазут, нефтепродукты.  Выхлопные газы. ",122,54.6522186318297,39.6620006635664
137,1595840927, Газ.  Выхлопные газы.  Сера. ,123,54.6144624500099,39.7189263870707
138,1595841606, Тухлая капуста. ,125,54.6038822027515,39.7902395085526
139,1595848182, Канализация (сероводород).  Тухлая капуста. ,129,54.6022694699756,39.8318538957855
140,1595848801," Выявлена причина запаха жженой проводки по вечерами. В  ГК некто обжигает проводку, видно даже как дымит. Не успел определить # гаража . ",109,54.6021812934262,39.7241617904762
141,1595849400," Запах говна, сделайте такой вариант. ",131,54.6192061885244,39.7344347550258
142,1595849967," Канализация (сероводород).  Мазут, нефтепродукты.  Газ. ",133,54.6047121214225,39.7395814916147
143,1595850488, Тухлая капуста. ,91,54.6199320556429,39.74380251484
144,1595855029," Мазут, нефтепродукты.  Выхлопные газы. ",135,54.6157810832577,39.8055775778084
145,1595855879, Канализация (сероводород).  Гарь. ,79,54.6149140765754,39.7163846639783
146,1595857698, Сера.  Тухлая капуста.  Канализация (сероводород). ,138,54.6318211638203,39.7020626573052
147,1595857922, Канализация (сероводород). ,139,54.6122306072455,39.8541736869507
148,1595867454," Гарь.  Дым.  Мазут, нефтепродукты. ",44,54.5755788243592,39.8093588895305
149,1595869106, Сера.  Тухлая капуста. ,62,54.6058643160023,39.7398915883115
150,1595869203, Тухлая капуста.  Сера. ,107,54.6013314120554,39.7415716786449
151,1595869230, Канализация (сероводород).  Тухлая капуста.  Сера. ,140,54.6115713950806,39.6798574463911
152,1595869471, Запах фекалий. ,141,54.589154103124,39.8072426903256
153,1595869607, Канализация (сероводород). ,142,54.6111160765124,39.7131557850536
154,1595869916, Канализация (сероводород).  Тухлая капуста. ,48,54.6018915254611,39.797408375018
155,1595869929," Мазут, нефтепродукты.  Сера. ",144,54.6044282406037,39.7409160211918
156,1595870335, Сладковатый запах (фенол). ,61,54.6028981169514,39.7536967837076
157,1595870683, Сладковатый запах (фенол).  Тухлая капуста. ,145,54.6015039665078,39.7969665343327
158,1595870700, Запах фекалий. ,146,54.5926537851713,39.8162611741343
159,1595870763, Канализация (сероводород). ,113,54.6053537613162,39.8162195793349
160,1595871016, Тухлая капуста.  Свалка. ,147,54.6138819466057,39.7120976485853
